sapi_id,nama_sapi,jenis_sapi,tgl_lahir,pemerahan_id,tgl_pemerahan,jumlah_susu,volume_pakan,jenis_pakan,kondisi_sapi,pemerah,status_reproduksi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,zsgagSgkHraCVLnOr0Ap,2025-11-27 17:03:29,14,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,NOjfWwUcUs0Fli3nerFW,2025-11-28 16:30:08,11,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,t9szD2VN6zFh4JB7AqO9,2025-11-29 20:03:21,14,53,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,Ck7vBQ7DV40reJ6aGuJW,2025-11-30 18:25:42,14,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,3QxAOskEzZeNqyxJK2R8,2025-12-01 18:36:58,12,53,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,XsCq52hTjGU7qpuKPZ0Q,2025-12-03 00:12:33,14,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,T268nbyJiYrys3vYPnR9,2025-12-03 02:48:22,16,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,Yxo4T6LUDyYkZBfrCKlq,2025-12-05 00:13:24,13,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,HHkQErKnqLWAfTIzNT2v,2025-12-05 23:32:23,14,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,HOz9SAWGflgaFU9ffvR7,2025-12-07 00:11:34,14,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,Sqp4ULlDRd8q58GG2Kar,2025-12-07 16:01:30,12,5,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,EcitikonI4q9xmEqeuJ2,2025-12-26 19:40:29,8,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,TuptKYCSDQa0qy80EvJX,2025-12-28 21:08:53,12,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,DK7OubkJlw99xtP6XPil,2025-12-29 23:55:53,14,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,Q2ceNAEIahxj0E2IcZ1a,2025-12-30 22:14:53,14,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,veEqdC5YswQatOJNpQQH,2025-12-31 23:53:53,13,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,x5Ql3pkIRc4XTRgBdhZi,2026-01-01 20:58:53,14,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,W0HMlHVdOiyLVhFHsL4Q,2026-01-02 20:45:53,14,53,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,6gzc9BvrMqlyymbngzZz,2026-01-03 20:17:53,11,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,Y3uaG2efYgAsaQnjEceT,2026-01-04 21:08:53,14,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,T4OM1diQjsdrImoU36us,2026-01-05 23:15:53,14,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,perah peranakan FH,2021-06-22 13:05:27,AYNP2JNWcbTSm9sHR55R,2026-01-06 21:02:53,8,52,Campuran,Sehat,Sri Raharja,Laktasi
