sapi_id,nama_sapi,jenis_sapi,tgl_lahir,pemerahan_id,tgl_pemerahan,jumlah_susu,volume_pakan,jenis_pakan,kondisi_sapi,pemerah,status_reproduksi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,Perah Peranakan Fh,2021-06-22 05:05:27,zsgagSgkHraCVLnOr0Ap,2025-11-27 09:03:29,14,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,Perah Peranakan Fh,2021-06-22 05:05:27,NOjfWwUcUs0Fli3nerFW,2025-11-28 08:30:08,11,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,Perah Peranakan Fh,2021-06-22 05:05:27,t9szD2VN6zFh4JB7AqO9,2025-11-29 12:03:21,14,53,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,Perah Peranakan Fh,2021-06-22 05:05:27,Ck7vBQ7DV40reJ6aGuJW,2025-11-30 10:25:42,14,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,Perah Peranakan Fh,2021-06-22 05:05:27,3QxAOskEzZeNqyxJK2R8,2025-12-01 10:36:58,12,53,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,Perah Peranakan Fh,2021-06-22 05:05:27,XsCq52hTjGU7qpuKPZ0Q,2025-12-02 16:12:33,14,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,Perah Peranakan Fh,2021-06-22 05:05:27,T268nbyJiYrys3vYPnR9,2025-12-02 18:48:22,16,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,Perah Peranakan Fh,2021-06-22 05:05:27,Yxo4T6LUDyYkZBfrCKlq,2025-12-04 16:13:24,13,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,Perah Peranakan Fh,2021-06-22 05:05:27,HHkQErKnqLWAfTIzNT2v,2025-12-05 15:32:23,14,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,Perah Peranakan Fh,2021-06-22 05:05:27,HOz9SAWGflgaFU9ffvR7,2025-12-06 16:11:34,14,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,Perah Peranakan Fh,2021-06-22 05:05:27,Sqp4ULlDRd8q58GG2Kar,2025-12-07 08:01:30,12,5,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,Perah Peranakan Fh,2021-06-22 05:05:27,EcitikonI4q9xmEqeuJ2,2025-12-26 11:40:29,8,52,Campuran,Sehat,Sri Raharja,Laktasi
1azOwdcfRGYY5QyJdQsa,DARA SULIS,Perah Peranakan Fh,2021-06-22 05:05:27,TuptKYCSDQa0qy80EvJX,2025-12-28 13:08:53,12,52,Campuran,Sehat,Sri Raharja,Laktasi
40ArmwBi9f13vbICuKf9,IDRIS WOMAN,Perah Peranakan Fh,2025-11-27 09:04:40,zsIPqoD9hqK7HBSEyhHU,2025-11-27 09:04:55,8,53,Campuran,Sehat,Sri Raharja,Hamil
40ArmwBi9f13vbICuKf9,IDRIS WOMAN,Perah Peranakan Fh,2025-11-27 09:04:40,KKxHrVfyazT4yLjjEsDk,2025-11-28 08:33:52,8,52,Campuran,Sehat,Sri Raharja,Hamil
40ArmwBi9f13vbICuKf9,IDRIS WOMAN,Perah Peranakan Fh,2025-11-27 09:04:40,8VUPT0tjgwPWJ1Rt41HA,2025-11-28 08:41:49,8,50,Campuran,Sehat,Sri Raharja,Hamil
40ArmwBi9f13vbICuKf9,IDRIS WOMAN,Perah Peranakan Fh,2025-11-27 09:04:40,SLfK9SerlNWCfyfvIqpX,2025-11-29 12:04:08,8,53,Campuran,Sehat,Sri Raharja,Hamil
40ArmwBi9f13vbICuKf9,IDRIS WOMAN,Perah Peranakan Fh,2025-11-27 09:04:40,bqNpB2qmVO7J3k1w58KK,2025-11-30 10:26:27,8,53,Campuran,Sehat,Sri Raharja,Hamil
40ArmwBi9f13vbICuKf9,IDRIS WOMAN,Perah Peranakan Fh,2025-11-27 09:04:40,c4sJBIJqacBhbrfwpUwd,2025-12-01 10:37:33,8,52,Campuran,Sehat,Sri Raharja,Hamil
40ArmwBi9f13vbICuKf9,IDRIS WOMAN,Perah Peranakan Fh,2025-11-27 09:04:40,5mVoSDB5wky62LeWRrGx,2025-12-02 16:15:43,8,52,Campuran,Sehat,Sri Raharja,Hamil
40ArmwBi9f13vbICuKf9,IDRIS WOMAN,Perah Peranakan Fh,2025-11-27 09:04:40,HyEb6iVJTYnkNXRsdfnm,2025-12-02 18:49:05,8,52,Campuran,Sehat,Sri Raharja,Hamil
40ArmwBi9f13vbICuKf9,IDRIS WOMAN,Perah Peranakan Fh,2025-11-27 09:04:40,0Oh0Lo69OpzOPNqXtIVp,2025-12-04 16:16:15,8,51,Campuran,Sehat,Sri Raharja,Hamil
40ArmwBi9f13vbICuKf9,IDRIS WOMAN,Perah Peranakan Fh,2025-11-27 09:04:40,NSOcU4KJ5YI3iFT2wvTx,2025-12-05 15:35:26,8,55,Campuran,Sehat,Sri Raharja,Hamil
40ArmwBi9f13vbICuKf9,IDRIS WOMAN,Perah Peranakan Fh,2025-11-27 09:04:40,WpbuwP0XtwZiHwVAYTlT,2025-12-05 16:22:19,8,53,Campuran,Sehat,Sri Raharja,Hamil
40ArmwBi9f13vbICuKf9,IDRIS WOMAN,Perah Peranakan Fh,2025-11-27 09:04:40,HevVixxqh2h2eYYxQmFl,2025-12-06 16:15:03,8,52,Campuran,Sehat,Sri Raharja,Hamil
40ArmwBi9f13vbICuKf9,IDRIS WOMAN,Perah Peranakan Fh,2025-11-27 09:04:40,zSfRgVuBdJw2jbKjeCmB,2025-12-07 08:02:58,8,52,Campuran,Sehat,Sri Raharja,Hamil
40ArmwBi9f13vbICuKf9,IDRIS WOMAN,Perah Peranakan Fh,2025-11-27 09:04:40,sST0nbhSTVowD1WjZ5R1,2025-12-26 11:42:05,8,52,Campuran,Sehat,Sri Raharja,Hamil
40ArmwBi9f13vbICuKf9,IDRIS WOMAN,Perah Peranakan Fh,2025-11-27 09:04:40,tIhbSdqE129SNDgy3ak0,2025-12-28 13:09:43,8,53,Campuran,Sehat,Sri Raharja,Hamil
4w4AZYYnFsC9ZhxpxUBI,SAPI SUPER BARU 3,Perah Peranakan Fh,2021-09-15 08:00:00,iPVImrYwmrpdRYiz9vKe,2025-10-23 14:20:21,14,58,Campuran,Sehat,Sri Raharja,Hamil
4w4AZYYnFsC9ZhxpxUBI,SAPI SUPER BARU 3,Perah Peranakan Fh,2021-09-15 08:00:00,A43fwyd4GpERJdu3O1Wx,2025-10-24 15:20:21,11,56,Campuran,Sehat,Sri Raharja,Laktasi
